🔍 查找所有连接成功的结果...
Domain,Protocol,Port,Extra
imap.kabelmail.de,imap,143,plain
imap.gmail.hu,imap,143,plain
mx.post.tf,imap,143,plain
lavabit.com,imap,143,plain
imap.kpnmail.nl,imap,143,plain
mail.gandi.net,imap,143,plain
hosted-imap.hushmail.com,imap,143,plain
imap.wp.pl,imap,143,plain
imap.mailbox.org,imap,143,plain
m.kw8.eu,imap,143,plain
post.monarchmail.xyz,imap,143,plain
imap.comcast.net,imap,143,plain
imap.videotron.ca,imap,143,plain
mailcluster.loopia.se,imap,143,plain
imap.poczta.onet.pl,imap,143,plain
imap.gmx.com,imap,143,plain
mail.x41.me,imap,143,plain
imap.mail.com,imap,143,plain
email.iljmail.com,imap,143,plain
imap.terra.com,imap,143,plain
imap.gmx.net,imap,143,plain
imap.mail.ru,imap,143,plain
imap.smoug.net,imap,143,plain
imap.web.de,imap,143,plain
imap.freemail.hu,imap,143,plain
imap.e-mail.jp,imap,143,plain
mx.freenet.de,imap,143,plain
in.alice.it,imap,143,plain
imap.dreamhost.com,imap,143,plain
poczta.interia.pl,imap,143,plain
mail.sooma.com,imap,143,plain
imap.telenet.be,imap,143,plain
mail.pisem.net,imap,143,plain
mail.3dmail.com,imap,143,plain
mail.lycos.com.cust.b.hostedemail.com,imap,143,plain
imap.peoplepc.com,imap,143,plain
imap.terra.com.br,imap,143,plain
mail.epicabox.com,imap,143,plain
w01b9d8d.kasserver.com,imap,143,plain
w01dbbec.kasserver.com,imap,143,plain
v080082.kasserver.com,imap,143,plain
w019f54e.kasserver.com,imap,143,plain
imap.isomedia.com,imap,143,plain
w00a66b4.kasserver.com,imap,143,plain
mail.your-server.de,imap,143,plain
w018838d.kasserver.com,imap,143,plain
imap.seanet.com,imap,143,plain
w01c199d.kasserver.com,imap,143,plain
w0157741.kasserver.com,imap,143,plain
mx.ae9.eu,imap,143,plain
imap.sapo.pt,imap,143,plain
s158.cyber-folks.pl,imap,143,plain
mail00.perfectmail.net,imap,143,plain
mailbuilderbuilder.com,imap,143,plain
server.deerpower.de,imap,143,plain
mail.terra.cl.cust.a.hostedemail.com,imap,143,plain
w0126846.kasserver.com,imap,143,plain
imap.1und1.de,imap,143,plain
imap.m101.websupport.se,imap,143,plain
mx.targetbyte.com,imap,143,plain
mail.taunusstein.net,imap,143,plain
imap.freemail.gr,imap,143,plain
w019e258.kasserver.com,imap,143,plain
imap.mboxhosting.com,imap,143,plain
mail.s1394.sureserver.com,imap,143,plain
promail.ptd.net,imap,143,plain
imap.beget.com,imap,143,plain
w0153599.kasserver.com,imap,143,plain
mail.desktopmasters.com,imap,143,plain
mailme.dk,imap,143,plain
axs.mboxhosting.com,imap,143,plain
imap.treva.nl,imap,143,plain
mail.gtmc.net,imap,143,plain
sh6.falconinternet.net,imap,143,plain
mail.cesky-hosting.cz,imap,143,plain
imap.one.com,imap,143,plain
mail.altospam.fr,imap,143,plain
km35826-02.keymachine.de,imap,143,plain
imap.fibertel.com.ar,imap,143,plain
mail.jtw.dk,imap,143,plain
www.poczta.fm,imap,143,plain
mx.groupmail.pro,imap,143,plain
imap.e-mail.jp,imap,143,starttls
mail.gandi.net,imap,143,starttls
imap.smoug.net,imap,143,starttls
email.iljmail.com,imap,143,starttls
mx.post.tf,imap,143,starttls
poczta.interia.pl,imap,143,starttls
m.kw8.eu,imap,143,starttls
imap.poczta.onet.pl,imap,143,starttls
imap.dreamhost.com,imap,143,starttls
imap.kabelmail.de,imap,143,starttls
mail.x41.me,imap,143,starttls
mail.epicabox.com,imap,143,starttls
imap.terra.com,imap,143,starttls
imap.comcast.net,imap,143,starttls
mail.pisem.net,imap,143,starttls
mail.s1394.sureserver.com,imap,143,starttls
hosted-imap.hushmail.com,imap,143,starttls
imap.isomedia.com,imap,143,starttls
mail.lycos.com.cust.b.hostedemail.com,imap,143,starttls
imap.kpnmail.nl,imap,143,starttls
w00a66b4.kasserver.com,imap,143,starttls
mx.freenet.de,imap,143,starttls
w018838d.kasserver.com,imap,143,starttls
imap.terra.com.br,imap,143,starttls
w01b9d8d.kasserver.com,imap,143,starttls
w019f54e.kasserver.com,imap,143,starttls
w0126846.kasserver.com,imap,143,starttls
w0157741.kasserver.com,imap,143,starttls
w01c199d.kasserver.com,imap,143,starttls
w01dbbec.kasserver.com,imap,143,starttls
v080082.kasserver.com,imap,143,starttls
imap.telenet.be,imap,143,starttls
mx.groupmail.pro,imap,143,starttls
