domain,has_http,has_https
0u.ro,0,1
0v.ro,0,1
0w.ro,0,1
10.dns-cloud.net,1,1
123.dns-cloud.net,1,1
123box.net,0,1
123mail.cl,0,1
126.com,0,1
14n.co.uk,0,1
150ml.com,1,1
163.com,0,1
1s.fr,1,1
20.dns-cloud.net,1,1
2012-2016.ru,0,1
2014mail.ru,1,1
20minutemail.com,1,1
20minutemail.it,0,1
247emaildata.com,0,1
2die4.com,0,1
2trom.com,0,1
30.dns-cloud.net,1,1
30minutenmail.eu,0,1
321media.com,0,1
33mail.com,0,1
456.dns-cloud.net,1,1
4email.net,1,1
4free.li,0,1
4nmv.ru,0,1
4pet.ro,1,1
4w.io,1,0
5july.org,1,1
5x25.com,0,1
5ymail.com,0,1
60-minuten-mail.de,0,1
672643.net,0,1
789.dns-cloud.net,1,1
8191.at,0,1
97rock.com,0,1
9q.ro,0,1
aaamail.zzn.com,0,1
aaronkwok.net,0,1
abb.dns-cloud.net,1,1
abb.dnsabr.com,1,1
abdulnour.com,0,1
about.com,0,1
academiccommunity.com,1,1
accountant.com,0,1
acdcfan.com,0,1
acentri.com,0,1
activist.com,0,1
adelphia.net,0,1
adexec.com,0,1
adfarrow.com,0,1
adios.net,1,1
adiq.eu,0,1
ados.fr,1,1
aeiou.pt,0,1
africamail.com,0,1
aim.com,0,1
aircraftmail.com,0,1
airpost.net,1,1
airsi.de,0,1
albawaba.com,0,1
aldeyaa.ae,0,1
alice.it,0,1
aliceadsl.fr,0,1
alive.cz,0,1
allemails.co.uk,1,1
allen.nom.za,0,1
allergist.com,0,1
allmail.net,1,1
alumni.com,0,1
alumnidirector.com,0,1
amail.com,0,1
america.hm,1,1
ameritech.net,0,1
amiri.net,1,1
amrer.net,0,1
amuro.net,0,1
amuromail.com,0,1
andylau.net,0,1
angelic.com,0,1
anit.ro,1,1
another.com,0,1
antisocial.com,0,1
antispam.de,0,1
anymoment.com,0,1
aol.co.uk,0,1
aol.com,0,1
aol.it,0,1
apmail.com,0,1
apple.dnsabr.com,1,1
appraiser.net,0,1
archaeologist.com,0,1
arcor.de,1,1
arcticmail.com,0,1
arno.fi,0,1
artlover.com,0,1
asheville.com,0,1
asia-mail.com,0,1
asia.com,0,1
asurfer.com,1,1
atheist.com,0,1
athenachu.net,0,1
att.net,0,1
auctioneer.net,0,1
austin.rr.com,0,1
australiamail.com,0,1
aver.com,0,1
ayna.com,0,1
azcomputerworks.com,0,1
backpackers.com,0,1
bagherpour.com,1,1
baptized.com,0,1
bartender.net,0,1
baseballmail.com,0,1
basketballmail.com,0,1
bboy.zzn.com,0,1
beer.com,0,1
bell.net,0,1
bellair.com,0,1
bellatlantic.net,0,1
bellsouth.net,0,1
berlin.com,0,1
bestmail.us,1,1
bettergolf.net,0,1
bickmail.com.au,0,1
bigfoot.com,0,1
bigfoot.de,0,1
bigger.com,0,1
bigpond.com,0,1
bigpond.com.au,0,1
bigpond.net.au,0,1
bikerider.com,0,1
billsfan.com,0,1
bione.co,0,1
birdlover.com,0,1
bk.ru,1,1
blader.com,0,1
bloq.ro,0,1
blu.it,1,1
bluemail.ch,0,1
bluewin.ch,0,1
blueyonder.co.uk,0,1
boardermail.com,0,1
bol.com.br,0,1
bolt.com,0,1
bombdiggity.com,0,1
boom.com,0,1
bopunkten.se,0,1
bossmail.de,0,1
bot.nu,0,1
bouncr.com,0,1
