domain,has_http,has_https
0ak.org,0,1
10minutesmail.com,0,1
150ml.com,0,1
2014mail.ru,1,1
20minutemail.com,0,1
4email.net,0,1
4pet.ro,1,1
4w.io,1,1
5july.org,0,1
academiccommunity.com,1,1
adios.net,1,1
airpost.net,0,1
algeria.com,1,1
allmail.net,0,1
america.hm,1,1
anit.ro,1,1
anonymize.com,1,1
arcor.de,1,1
ashleyandrew.com,0,1
asu.mx,0,1
asurfer.com,1,1
bell.net,0,1
bestmail.us,0,1
bigblue.net.au,1,1
bigpond.com,0,1
bigpond.net.au,0,1
bione.co,0,1
bk.ru,0,1
blogos.net,0,1
bloq.ro,0,1
blu.it,0,1
bluemail.ch,0,1
bluewin.ch,0,1
blueyonder.co.uk,0,1
bol.com.br,0,1
bright.net,1,1
btinternet.com,0,1
btopenworld.com,0,1
bullsfan.com,0,1
campano.cl,1,1
catcha.com,1,1
cazis.fr,0,1
cdr.fastmail.fm,0,1
ce.mintemail.com,1,1
chello.nl,0,1
cluemail.com,0,1
cmailg.com,0,1
comcast.net,1,1
comwest.de,1,0
cookiecooker.de,1,1
coza.ro,0,1
crastination.de,1,0
crosswinds.net,1,1
cybernet.it,0,1
d3p.dk,0,1
dab.ro,0,1
daha.com,0,1
dangerous-minds.com,0,1
dca.net,0,1
deadspam.com,1,1
dlemail.ru,1,0
doxcity.net,1,1
dragoncon.net,0,1
drdrb.com,0,1
drevo.si,1,1
duno.com,1,1
dwse.edu.pl,1,1
dz17.net,0,1
e-mail.jp,0,1
ee1.pl,0,1
eilersmail.com,0,1
einmalmail.de,0,1
email-server.info,1,1
email.cz,0,1
email.plala.or.jp,1,0
emailcorner.net,0,1
emailengine.net,0,1
emailgo.de,1,1
emailgroups.net,0,1
emailirani.ir,1,1
emailuser.net,0,1
emeil.ir,1,1
esc.la,1,1
euroseek.com,0,1
fastem.com,0,1
fastemail.us,0,1
fastemailer.com,0,1
fastimap.com,0,1
fastmail.com.au,0,1
fastmail.fm,0,1
fastmailbox.net,0,1
fastmessaging.com,0,1
flemail.ru,1,0
fmail.co.uk,0,1
fmailbox.com,0,1
fmgirl.com,0,1
fmguy.com,0,1
fnmail.com,0,1
forpresident.com,0,1
freeandsingle.com,1,1
freeler.nl,1,0
freenet.de,0,1
ftml.net,0,1
fuirio.com,0,1
galaxy.tv,0,1
gamil.com,0,1
garbage.com,0,1
giantmail.de,0,1
givepeaceachance.com,0,1
glendale.net,0,1
gportal.hu,1,1
gratisweb.com,1,1
gtmc.net,1,1
hailmail.net,0,1
handleit.com,0,1
headstrong.de,0,1
herediano.com,0,1
hetnet.nl,1,0
hidemail.de,1,0
home.nl,0,1
i-plus.net,1,1
i.am,0,1
icestorm.com,1,1
icloud.com,0,1
iinet.net.au,1,1
imgv.de,1,1
inbox.lv,1,1
inbox.ru,0,1
interia.pl,0,1
internetemails.net,0,1
internetmailing.net,0,1
internode.on.net,1,1
inwind.it,0,1
iol.it,0,1
iprimus.com.au,0,1
jetemail.net,0,1
just4spam.com,1,0
justemail.net,0,1
kabelmail.de,1,1
kismail.ru,1,0
kpnmail.nl,1,0
lackmail.ru,1,0
ladymail.cz,0,1
latino.com,0,1
libero.it,0,1
liberto.it,0,1
list.ru,0,1
lolfreak.net,1,1
london2.space,0,1
lr78.com,0,1
lukop.dk,0,1
luxusmail.uk,0,1
lycos.co.uk,0,1
lycos.com,0,1
mail-central.com,0,1
mail-page.com,0,1
mail-pro.info,1,1
mail.be,0,1
mail.co.za,1,1
mail.ee,1,1
mail.ru,0,1
mailandftp.com,0,1
mailas.com,0,1
mailbolt.com,0,1
mailbox.org,0,1
mailc.net,0,1
mailcan.com,0,1
mailforce.net,0,1
mailftp.com,0,1
mailhaven.com,0,1
mailite.com,0,1
mailmight.com,0,1
mailnew.com,0,1
mailsent.net,0,1
mailup.net,0,1
marketing.lu,1,1
marketlink.info,1,1
mekhong.com,0,1
metta.lk,1,1
mintemail.com,1,1
ml1.net,0,1
mmmmail.com,0,1
mobi.web.id,1,1
mtmdev.com,0,1
mytempemail.com,0,1
net4you.at,0,1
netgenie.com,1,1
netspace.net.au,1,1
next.ovh,1,1
nice-4u.com,1,0
nomail.pw,1,1
northgates.net,0,1
nospammail.net,0,1
ntlworld.com,0,1
olypmall.ru,1,0
onet.pl,1,1
online.de,0,1
online.ie,1,1
onlinehome.de,0,1
our.st,0,1
ownmail.net,0,1
ozemail.com.au,1,1
parvazi.com,1,1
perfectmail.com,0,1
petml.com,0,1
picusnet.com,1,1
piki.si,1,1
planet.nl,1,0
pm.me,0,1
pobox.com,0,1
pobox.hu,1,1
poczta.fm,0,1
post.cz,0,1
postinbox.com,0,1
postpro.net,0,1
privacy.net,1,1
proinbox.com,0,1
promessage.com,0,1
proton.me,0,1
protonmail.com,0,1
quickemail.info,0,1
quickinbox.com,0,1
r8r4p0cb.com,1,1
ramail.co.uk,0,1
rastogi.net,0,1
rax.la,0,1
realemail.net,0,1
reallyfast.biz,0,1
riddermark.de,0,1
royalhost.info,1,1
rr.ccs.pl,1,1
ruggedinbox.com,0,1
rushpost.com,0,1
rvshop.com,0,1
sent.com,0,1
seznam.cz,0,1
shotmail.ru,1,0
shuf.com,1,1
singnet.com.sg,1,1
skynet.be,1,1
slippery.email,0,1
slothmail.net,0,1
smapfree24.com,0,1
soccermomz.com,1,1
spamavert.com,0,1
spambox.us,1,1
spamfree.eu,0,1
spamthis.co.uk,0,1
speedpost.net,0,1
stargateradio.com,0,1
starspath.com,1,1
start.com.au,1,1
sullivanemail.net,0,1
swirve.com,1,1
swva.net,0,1
sympatico.ca,0,1
tagmymedia.com,1,1
talk21.com,0,1
tbwt.com,1,1
teleline.es,0,1
telerymd.com,0,1
telpage.net,0,1
telstra.com,0,1
temp-mail.net,0,1
tempemail.net,0,1
temporaryinbox.com,0,1
terra.com.br,0,1
the-boss.com,1,1
the-fastest.net,0,1
the-frenchman.com,1,1
the-italian.com,0,1
the-quickest.com,0,1
thecloudindex.com,0,1
theroyalweb.club,1,1
theteastory.info,0,1
tiscali.it,1,1
tkitc.de,0,1
tonymanso.com,0,1
tormail.org,0,1
tpg.com.au,1,1
trash247.com,0,1
trashinbox.com,1,1
trend-maker.ru,1,0
tualias.com,0,1
ubm.md,1,1
uk2net.com,1,1
ukr.net,1,1
uno.it,1,1
unseen.is,0,1
uol.com.br,0,1
urbismail.com,1,1
us.af,1,0
vankin.de,1,0
velnet.co.uk,1,1
verdejo.com,1,1
veryfast.biz,0,1
veryspeedy.net,0,1
violinmakers.co.uk,0,1
vip.gr,1,1
virgilio.it,0,1
virgin.net,0,1
virginmedia.com,0,1
walkmail.ru,1,0
wamail.net,0,1
warpmail.net,0,1
wbml.net,0,1
web-mail.de,0,1
webarnak.fr.eu.org,0,1
wem.com,0,1
westnet.com.au,1,1
wg0.com,0,1
x-mail.net,0,1
xsmail.com,0,1
ya.ru,0,1
yandex.com,0,1
yandex.ru,0,1
yedi.org,0,1
yepmail.net,0,1
ymail4.com,1,1
yougotgoated.com,0,1
z86.ru,1,0
zeta-telecom.com,0,1
zipmail.com,0,1
zoho.com,0,1
zomg.info,1,1
