source,target,value
others,post.tf,4
.com,post.tf,2
.com,thunderbird.net,578
.net,thunderbird.net,133
others,thunderbird.net,264
.org,thunderbird.net,20
.cn,thunderbird.net,1
others,mailbox.org,2
.net,mailbox.org,1
.org,mailbox.org,1
.net,dns-cloud.net,16
.com,dnsabr.com,10
others,small_provider,146
.io,small_provider,1
others,autoconfig.ro,10
others,1s.fr,2
.com,small_provider,89
others,ae9.eu,5
.net,small_provider,55
others,smail.eu,3
.net,messagingengine.com,30
.com,messagingengine.com,33
others,messagingengine.com,9
.org,messagingengine.com,1
others,sourcefactory.at,5
.net,sourcefactory.at,1
.com,udag.de,1
others,udag.de,1
.org,small_provider,8
others,bigpond.com,2
.com,bigpond.com,2
.co,small_provider,1
others,vodafonemail.de,2
others,protonmail.ch,7
.com,protonmail.ch,6
.org,protonmail.ch,1
.net,protonmail.ch,1
.com,computer.com,5
.net,computer.com,1
others,freenet.de,2
others,mail.ru,7
.net,mail.ru,1
.com,mail.ru,3
.com,mintemail.com,2
.com,openwave.ai,3
others,fastmail.fm,2
.com,infomaniak.com,4
others,infomaniak.com,2
.com,virginmedia.com,2
others,virginmedia.com,1
.net,virginmedia.com,1
others,ziggo.nl,2
others,jtw.dk,3
others,unified.services,2
others,seznam.cz,4
.com,dreamhost.com,2
others,freemail.hu,2
.com,purelymail.com,2
.com,hushmail.com,2
others,interia.pl,3
others,ovpn.to,2
.com,tiscali.it,1
others,tiscali.it,1
.com,mail2world.com,613
others,mail2world.com,1
.net,netzero.net,1
.com,netzero.net,1
others,ze.tc,2
others,yandex.ru,3
.com,yandex.ru,1
others,targetbyte.com,2
