source,target,value
others,post.tf,4
.com,post.tf,2
.com,thunderbird.net,578
.net,thunderbird.net,133
others,thunderbird.net,264
.org,thunderbird.net,20
.cn,thunderbird.net,1
others,mailbox.org,2
.net,mailbox.org,1
.org,mailbox.org,1
.net,dns-cloud.net,16
.com,dnsabr.com,10
others,ados.fr,1
.io,4w.io,1
others,autoconfig.ro,10
others,allemails.co.uk,1
others,1s.fr,2
.com,20minutemail.com,1
others,60-minuten-mail.de,1
others,ae9.eu,5
.net,adios.net,1
others,2014mail.ru,1
.com,academiccommunity.com,1
others,4pet.ro,1
others,smail.eu,3
others,2xs.de,1
.net,amiri.net,1
.com,150ml.com,1
.net,messagingengine.com,30
.com,messagingengine.com,33
others,messagingengine.com,9
.org,messagingengine.com,1
.net,4email.net,1
others,sourcefactory.at,5
.net,sourcefactory.at,1
.com,udag.de,1
others,udag.de,1
.net,airpost.net,1
.net,allmail.net,1
.com,asurfer.com,1
.org,5july.org,1
others,anit.ro,1
others,bigpond.com,2
.com,bigpond.com,2
.co,spacemail.com,1
others,arcor.de,1
others,vodafonemail.de,2
others,bluemail.ch,1
.com,bagherpour.com,1
others,bestmail.us,1
.net,bell.net,1
others,protonmail.ch,7
.com,protonmail.ch,6
.org,protonmail.ch,1
.net,protonmail.ch,1
.com,computer.com,5
.net,computer.com,1
others,bloq.ro,1
others,mixtmedia.ro,1
.net,bright.net,1
others,blu.it,1
others,briefkasten2go.de,1
others,bluewin.ch,1
others,btizet.pl,1
others,freenet.de,2
others,mail.ru,7
.net,mail.ru,1
.com,mail.ru,3
others,centoper.it,1
.com,catcha.com,1
.com,mintemail.com,2
.com,btopenworld.com,1
.com,openwave.ai,3
others,fastmail.fm,2
.com,infomaniak.com,4
others,infomaniak.com,2
others,america.hm,1
others,blueyonder.co.uk,1
.com,virginmedia.com,2
others,virginmedia.com,1
.net,virginmedia.com,1
.com,cluemail.com,1
.com,ddcrew.com,1
.net,crosswinds.net,1
others,cybernet.it,1
others,bigpond.net.au,1
others,ziggo.nl,2
.com,deadspam.com,1
others,divismail.ru,1
.org,dodgit.org,1
others,domforfb2.tk,1
others,domforfb1.tk,1
others,domforfb4.tk,1
others,domforfb5.tk,1
.net,dca.net,1
others,jtw.dk,3
.net,doxcity.net,1
.com,dangerous-minds.com,1
.com,desktopmasters.com,1
others,dumpmail.de,1
.net,dragoncon.net,1
.com,btinternet.com,1
others,dlemail.ru,1
others,cookiecooker.de,1
others,unified.services,2
others,e-mail.jp,1
.com,drdrb.com,1
others,drevo.si,1
others,emailgo.de,1
others,e-postkasten.eu,1
others,einmalmail.de,1
others,email.cz,1
others,seznam.cz,4
.net,emailcorner.net,1
.net,emailengine.net,1
.net,emailgroups.net,1
others,hajo-krueger.de,1
.com,euroseek.com,1
.com,dreamhost.com,2
others,crastination.de,1
.net,emailuser.net,1
others,emeil.ir,1
others,fixmail.tk,1
others,emailirani.ir,1
others,fmail.pw,1
others,epicabox.com,1
.com,fastemailer.com,1
others,fastmail.com.au,1
others,fastemail.us,1
.com,fastem.com,1
.com,fastimap.com,1
.com,fastmessaging.com,1
.net,fastmailbox.net,1
others,flemail.ru,1
.com,fnmail.com,1
others,freeler.nl,1
others,freemail.hu,2
.com,fmailbox.com,1
others,fmail.co.uk,1
.com,fmguy.com,1
.com,fmgirl.com,1
others,email-server.info,1
.com,purelymail.com,2
.net,ftml.net,1
.net,glendale.net,1
.com,sureserver.com,1
others,gportal.hu,1
others,gazeta.pl,1
.com,gratisweb.com,1
others,headstrong.de,1
others,migadu.com,1
.com,altospam.com,1
.com,hotbrev.com,1
.com,hushmail.com,2
.net,hailmail.net,1
others,hetnet.nl,1
others,cloudns.cx,1
others,cloudns.cc,1
.com,givepeaceachance.com,1
.org,i2pmail.org,1
others,MAIL.RU,1
.com,icestorm.com,1
.org,kicked.me,1
others,home.nl,1
others,herpderp.nl,1
others,imails.info,1
.net,i-plus.net,1
others,inbox.lv,1
others,indexa.fr,1
others,inicia.es,1
.net,islamonline.net,1
others,iprimus.com.au,1
others,ip6.li,1
others,taunusstein.net,1
others,inwind.it,1
others,interia.pl,3
.net,internetemails.net,1
.org,inboxclean.org,1
.net,internetmailing.net,1
others,iol.it,1
.com,kiwibox.com,1
.com,juno.com,1
others,monarchmail.xyz,1
.net,jetemail.net,1
.net,gtmc.net,1
.net,ispn.net,1
.com,ilovejesus.com,1
.net,justemail.net,1
others,kabelmail.de,1
others,kismail.ru,1
others,ovpn.to,2
others,hidemail.de,1
others,kpnmail.nl,1
others,lackmail.ru,1
others,libox.fr,1
others,imgv.de,1
others,liberto.it,1
others,libero.it,1
.com,tiscali.it,1
others,tiscali.it,1
.com,mail2world.com,613
others,mail2world.com,1
others,mail-pro.info,1
.net,lolfreak.net,1
others,lycos.co.uk,1
others,mail.be,1
others,mail.co.za,1
.com,lycos.com,1
others,lycos.at,1
.com,mail-central.com,1
.com,mail-page.com,1
others,mail.ee,1
others,inbox.eu,1
others,privateemail.com,1
.com,just4spam.com,1
.com,mailabconline.com,1
.com,mailcan.com,1
.com,mailas.com,1
.com,mailandftp.com,1
.com,mailbolt.com,1
.net,mailc.net,1
.net,mailforce.net,1
.com,mailhaven.com,1
.com,mailmight.com,1
.com,mailite.com,1
.com,mailnew.com,1
.com,mailftp.com,1
others,messwiththebestdielikethe.rest,1
.net,mailsent.net,1
.net,mailup.net,1
others,marketlink.info,1
others,metta.lk,1
others,xworks.net,1
others,mobi.web.id,1
others,miesto.sk,1
.net,mycleaninbox.net,1
.com,mmmmail.com,1
.net,ml1.net,1
others,ispgateway.de,1
.com,mtmdev.com,1
others,nanonym.ch,1
others,netscapeonline.co.uk,1
others,mk24.at,1
.com,netcourrier.com,1
.com,mailo.com,1
others,next.ovh,1
.net,netzero.net,1
.com,netzero.net,1
.com,netgenie.com,1
.net,niwl.net,1
others,net4you.at,1
others,autoconfig.nom.za,1
.com,nnh.com,1
others,ze.tc,2
others,nomail.pw,1
others,ice-networks.com,1
.net,nospammail.net,1
others,onet.pl,1
others,online.ie,1
others,olypmall.ru,1
others,our.st,1
.net,pisem.net,1
.com,parvazi.com,1
others,partynight.at,1
.com,picusnet.com,1
.net,ownmail.net,1
others,planet.nl,1
others,pm.me,1
.com,petml.com,1
.org,pro-tag.org,1
.com,probemail.com,1
.com,pobox.com,1
.com,ntlworld.com,1
others,piki.si,1
.net,privacy.net,1
others,prtz.eu,1
others,post.cz,1
.com,postinbox.com,1
.net,postpro.net,1
.com,protonmail.com,1
others,proton.me,1
others,pobox.hu,1
.com,proinbox.com,1
.com,promessage.com,1
others,poczta.fm,1
others,rax.la,1
.com,r8r4p0cb.com,1
others,yandex.ru,3
.com,yandex.ru,1
others,reallyfast.biz,1
.net,realemail.net,1
others,royalhost.info,1
.com,safersignup.com,1
.com,kw8.eu,1
others,riddermark.de,1
others,ccs.pl,1
.com,ruggedinbox.com,1
.com,sapya.com,1
.com,isomedia.com,1
.com,rushpost.com,1
.com,runbox.com,1
.net,slothmail.net,1
others,targetbyte.com,2
.net,smoug.net,1
.com,sent.com,1
others,shotmail.ru,1
.net,sohu.net,1
others,smapfree24.de,1
others,smapfree24.eu,1
.com,soccermomz.com,1
others,quickemail.info,1
others,start.com.au,1
.net,speedpost.net,1
.net,swva.net,1
others,sympatico.ca,1
.com,tagmymedia.com,1
.com,swirve.com,1
.com,talk21.com,1
.com,telstra.com,1
.com,telerymd.com,1
.com,buzondecorreo.com,1
others,terra.com.br,1
others,teleline.es,1
others,panel247.com,1
others,dondominio.com,1
