source,target,value
.com,small_provider,49
.io,small_provider,1
others,cpanel.net,27
.com,cpanel.net,31
.net,cpanel.net,9
.io,cpanel.net,1
.org,1and1.info,1
others,1and1.info,9
.com,1and1.info,8
.net,1and1.info,4
others,aruba.it,2
.com,aruba.it,1
.net,small_provider,16
others,small_provider,111
.com,fastmail.com,33
.net,fastmail.com,29
.org,fastmail.com,2
others,fastmail.com,9
.org,small_provider,2
.co,small_provider,1
others,atmailcloud.com,7
.net,atmailcloud.com,1
others,secureserver.net,1
.com,secureserver.net,1
.org,secureserver.net,1
others,uol.com.br,2
others,bell.net,1
.net,bell.net,1
.com,mintemail.com,2
others,infomaniak.com,2
.com,infomaniak.com,4
others,jtw.dk,2
.net,dreamhost.com,3
.com,dreamhost.com,2
others,email.cz,2
others,seznam.cz,4
.com,loopia.com,2
.net,nethosters.com,1
.com,nethosters.com,1
others,interia.pl,2
others,proton.me,2
.com,proton.me,1
