Provider,Customers,Contains_Self
ados.fr,1,True
4w.io,1,True
allemails.co.uk,1,True
20minutemail.com,1,True
60-minuten-mail.de,1,True
adios.net,1,True
2014mail.ru,1,True
academiccommunity.com,1,True
4pet.ro,1,True
2xs.de,1,False
amiri.net,1,True
150ml.com,1,True
4email.net,1,True
airpost.net,1,True
allmail.net,1,True
asurfer.com,1,True
5july.org,1,True
anit.ro,1,True
spacemail.com,1,False
arcor.de,1,True
bluemail.ch,1,True
bagherpour.com,1,True
bestmail.us,1,True
bell.net,1,True
bloq.ro,1,True
mixtmedia.ro,1,False
bright.net,1,True
blu.it,1,True
briefkasten2go.de,1,True
bluewin.ch,1,True
btizet.pl,1,True
centoper.it,1,True
catcha.com,1,True
btopenworld.com,1,True
america.hm,1,True
blueyonder.co.uk,1,True
cluemail.com,1,True
ddcrew.com,1,True
crosswinds.net,1,True
cybernet.it,1,True
bigpond.net.au,1,True
deadspam.com,1,True
divismail.ru,1,True
dodgit.org,1,True
domforfb2.tk,1,True
domforfb1.tk,1,True
domforfb4.tk,1,True
domforfb5.tk,1,True
dca.net,1,True
doxcity.net,1,True
dangerous-minds.com,1,True
desktopmasters.com,1,False
dumpmail.de,1,True
dragoncon.net,1,True
btinternet.com,1,True
dlemail.ru,1,True
cookiecooker.de,1,True
e-mail.jp,1,True
drdrb.com,1,True
drevo.si,1,True
emailgo.de,1,True
e-postkasten.eu,1,True
einmalmail.de,1,True
email.cz,1,True
emailcorner.net,1,True
emailengine.net,1,True
emailgroups.net,1,True
hajo-krueger.de,1,False
euroseek.com,1,True
crastination.de,1,True
emailuser.net,1,True
emeil.ir,1,True
fixmail.tk,1,True
emailirani.ir,1,True
fmail.pw,1,True
epicabox.com,1,False
fastemailer.com,1,True
fastmail.com.au,1,True
fastemail.us,1,True
fastem.com,1,True
fastimap.com,1,True
fastmessaging.com,1,True
fastmailbox.net,1,True
flemail.ru,1,True
fnmail.com,1,True
freeler.nl,1,True
fmailbox.com,1,True
fmail.co.uk,1,True
fmguy.com,1,True
fmgirl.com,1,True
email-server.info,1,True
ftml.net,1,True
glendale.net,1,True
sureserver.com,1,False
gportal.hu,1,True
gazeta.pl,1,True
gratisweb.com,1,True
headstrong.de,1,True
migadu.com,1,False
altospam.com,1,False
hotbrev.com,1,True
hailmail.net,1,True
hetnet.nl,1,True
cloudns.cx,1,False
cloudns.cc,1,False
givepeaceachance.com,1,True
i2pmail.org,1,True
MAIL.RU,1,False
icestorm.com,1,True
kicked.me,1,False
home.nl,1,True
herpderp.nl,1,True
imails.info,1,True
i-plus.net,1,True
inbox.lv,1,True
indexa.fr,1,True
inicia.es,1,True
islamonline.net,1,True
iprimus.com.au,1,True
ip6.li,1,True
taunusstein.net,1,False
inwind.it,1,True
internetemails.net,1,True
inboxclean.org,1,True
internetmailing.net,1,True
iol.it,1,True
kiwibox.com,1,True
juno.com,1,True
monarchmail.xyz,1,False
jetemail.net,1,True
gtmc.net,1,True
ispn.net,1,False
ilovejesus.com,1,True
justemail.net,1,True
kabelmail.de,1,True
kismail.ru,1,True
hidemail.de,1,True
kpnmail.nl,1,True
lackmail.ru,1,True
libox.fr,1,True
imgv.de,1,True
liberto.it,1,True
libero.it,1,True
mail-pro.info,1,True
lolfreak.net,1,True
lycos.co.uk,1,True
mail.be,1,True
mail.co.za,1,True
lycos.com,1,True
lycos.at,1,True
mail-central.com,1,True
mail-page.com,1,True
mail.ee,1,True
inbox.eu,1,False
privateemail.com,1,False
just4spam.com,1,True
mailabconline.com,1,True
mailcan.com,1,True
mailas.com,1,True
mailandftp.com,1,True
mailbolt.com,1,True
mailc.net,1,True
mailforce.net,1,True
mailhaven.com,1,True
mailmight.com,1,True
mailite.com,1,True
mailnew.com,1,True
mailftp.com,1,True
messwiththebestdielikethe.rest,1,True
mailsent.net,1,True
mailup.net,1,True
marketlink.info,1,True
metta.lk,1,True
xworks.net,1,False
mobi.web.id,1,True
miesto.sk,1,True
mycleaninbox.net,1,True
mmmmail.com,1,True
ml1.net,1,True
ispgateway.de,1,False
mtmdev.com,1,True
nanonym.ch,1,True
netscapeonline.co.uk,1,True
mk24.at,1,True
netcourrier.com,1,True
mailo.com,1,False
next.ovh,1,True
netgenie.com,1,True
niwl.net,1,True
net4you.at,1,True
autoconfig.nom.za,1,False
nnh.com,1,True
nomail.pw,1,True
ice-networks.com,1,False
nospammail.net,1,True
onet.pl,1,True
online.ie,1,True
