Provider,Customers,Contains_Self
10minutesmail.com,1,True
4w.io,1,True
adios.net,1,True
2014mail.ru,1,True
academiccommunity.com,1,True
4pet.ro,1,True
anonymize.com,1,True
algeria.com,1,True
asurfer.com,1,True
websupport.sk,1,False
anit.ro,1,True
spacemail.com,1,False
arcor.de,1,True
bigpond.com,1,True
bluemail.ch,1,True
bigblue.net.au,1,True
bloq.ro,1,True
bright.net,1,True
blu.it,1,True
bluewin.ch,1,True
bk.ru,1,True
campano.cl,1,True
catcha.com,1,True
btopenworld.com,1,True
america.hm,1,True
blueyonder.co.uk,1,True
comcast.net,1,True
crosswinds.net,1,True
bigpond.net.au,1,True
chello.nl,1,True
deadspam.com,1,True
dca.net,1,True
doxcity.net,1,True
dangerous-minds.com,1,True
duno.com,1,True
btinternet.com,1,True
dlemail.ru,1,True
dwse.edu.pl,1,True
cookiecooker.de,1,True
lima-city.de,1,False
e-mail.jp,1,True
drevo.si,1,True
emailgo.de,1,True
cyberfolks.pl,1,False
deerpower.de,1,False
esc.la,1,True
comwest.de,1,True
crastination.de,1,True
emeil.ir,1,True
emailirani.ir,1,True
plala.or.jp,1,False
flemail.ru,1,True
freeler.nl,1,True
email-server.info,1,True
freeandsingle.com,1,True
mailindeed.com,1,False
sureserver.com,1,False
gportal.hu,1,True
gratisweb.com,1,True
headstrong.de,1,True
icloud.com,1,True
i.am,1,True
hetnet.nl,1,True
icestorm.com,1,True
home.nl,1,True
ziggo.nl,1,False
i-plus.net,1,True
freenet.de,1,True
inbox.lv,1,True
iinet.net.au,1,True
iprimus.com.au,1,True
on.net,1,False
inwind.it,1,True
inbox.ru,1,True
iol.it,1,True
gtmc.net,1,True
kabelmail.de,1,True
kismail.ru,1,True
hidemail.de,1,True
kpnmail.nl,1,True
lackmail.ru,1,True
imgv.de,1,True
libero.it,1,True
list.ru,1,True
mail-pro.info,1,True
lolfreak.net,1,True
lycos.co.uk,1,True
mail.be,1,True
mail.co.za,1,True
aserv.co.za,1,False
lycos.com,1,True
mail.ee,1,True
privateemail.com,1,False
mail.ru,1,True
just4spam.com,1,True
mailbox.org,1,True
marketlink.info,1,True
metta.lk,1,True
mobi.web.id,1,True
next.ovh,1,True
netgenie.com,1,True
net4you.at,1,True
marketing.lu,1,True
nomail.pw,1,True
onet.pl,1,True
online.ie,1,True
olypmall.ru,1,True
securemail.pro,1,False
parvazi.com,1,True
ozemail.com.au,1,True
picusnet.com,1,True
planet.nl,1,True
perfectmail.com,1,True
perfectmail.net,1,False
ntlworld.com,1,True
piki.si,1,True
privacy.net,1,True
netspace.net.au,1,True
post.cz,1,True
nice-4u.com,1,True
pobox.hu,1,True
poczta.fm,1,True
rax.la,1,True
r8r4p0cb.com,1,True
royalhost.info,1,True
keymachine.de,1,False
ccs.pl,1,False
shuf.com,1,True
shotmail.ru,1,True
spambox.us,1,True
soccermomz.com,1,True
starspath.com,1,True
skynet.be,1,True
start.com.au,1,True
swva.net,1,True
tbwt.com,1,True
sympatico.ca,1,True
tagmymedia.com,1,True
swirve.com,1,True
temporaryinbox.com,1,True
talk21.com,1,True
telstra.com,1,True
the-boss.com,1,True
the-frenchman.com,1,True
buzondecorreo.com,1,False
terra.com.br,1,True
teleline.es,1,True
panel247.com,1,False
theroyalweb.club,1,True
singnet.com.sg,1,True
tiscali.it,1,True
trashinbox.com,1,True
xpirio.net,1,False
tonymanso.com,1,True
trend-maker.ru,1,True
tpg.com.au,1,True
ubm.md,1,True
uk2net.com,1,True
ukr.net,1,True
urbismail.com,1,True
uno.it,1,True
verdejo.com,1,True
velnet.co.uk,1,True
vip.gr,1,True
virgin.net,1,True
virgilio.it,1,True
virginmedia.com,1,True
wamail.net,1,True
walkmail.ru,1,True
westnet.com.au,1,True
x-mail.net,1,True
ymail4.com,1,True
ya.ru,1,True
yandex.ru,1,True
yandex.com,1,True
us.af,1,True
z86.ru,1,True
zoho.com,1,True
zomg.info,1,True
vankin.de,1,True
